as_of_date,sku,product_name,category,warehouse,supplier,forecast_horizon_days,point_forecast_units,forecast_low_units,forecast_high_units,available_inventory,inbound_quantity_90d,inventory_position,expected_lead_time_days_p75,reorder_date,recommended_quantity,estimated_purchase_cost,priority_or_risk_classification,reason_code,projected_stockout_date,container_slot,assumptions,human_approval_status
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse A,SUP-008,30,27.185,19.6845,34.6854,0,662,662,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse A,SUP-008,60,54.2905,39.5405,69.0405,0,662,662,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse A,SUP-008,90,81.3195,59.3271,103.3118,0,662,662,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse B,SUP-008,30,20.8662,15.1092,26.6233,1455,28,1483,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse B,SUP-008,60,41.7904,30.4365,53.1443,1455,28,1483,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse B,SUP-008,90,62.6165,45.6823,79.5508,1455,28,1483,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse C,SUP-008,30,6.1876,4.4804,7.8948,62,0,62,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse C,SUP-008,60,12.3314,8.9811,15.6817,62,0,62,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0001,Category 2 Model 001,Category 2,Warehouse C,SUP-008,90,18.5098,13.504,23.5157,62,0,62,80,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse A,SUP-015,30,6.5242,4.7241,8.3242,5,0,5,45.5,30/06/2026,24,488.16,Critical,BUY_APPROVAL_REQUIRED,,2,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,Pending approval
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse A,SUP-015,60,13.0583,9.5105,16.6061,5,0,5,45.5,30/06/2026,24,488.16,Critical,BUY_APPROVAL_REQUIRED,,2,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,Pending approval
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse A,SUP-015,90,19.5809,14.2854,24.8764,5,0,5,45.5,30/06/2026,24,488.16,Critical,BUY_APPROVAL_REQUIRED,,2,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,Pending approval
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse B,SUP-015,30,3.8332,2.7756,4.8907,32,0,32,45.5,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse B,SUP-015,60,7.6536,5.5742,9.733,32,0,32,45.5,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse B,SUP-015,90,11.4856,8.3794,14.5918,32,0,32,45.5,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
30/06/2026,BRA-0002,Category 3 Model 002,Category 3,Warehouse C,SUP-015,30,2.2066,1.5978,2.8154,28,0,28,45.5,,0,0,Low,NO_REORDER_POSITION_SUFFICIENT,,,Gross units demand; promo de-lifted; stockout days censored; MOQ from historical min PO; two supplier/container slots.,No purchase action
